City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,kisanga,-7.4362,37.7034,24.55,91,100,1.05,TZ,1701549883
292,la tuque,47.4334,-72.7824,-2.86,63,91,4.12,CA,1701549744
293,al kawa,13.7463,32.4996,28.53,26,37,5.4,SD,1701549883
294,maragogi,-9.0122,-35.2225,25.99,78,88,6.08,BR,1701549883
295,porto novo,6.4965,2.6036,28.9,85,100,3.37,BJ,1701549600
296,chibougamau,49.9168,-74.3659,-10.21,92,100,1.54,CA,1701549800
297,huamachuco,-7.8,-78.0667,16.55,62,93,1.5,PE,1701549884
298,rice lake,45.5061,-91.7382,3.82,58,40,4.12,US,1701549884
299,san pedro pochutla,15.7333,-96.4667,33.84,52,27,3.29,MX,1701549884
300,dzhetygara,52.1908,61.2006,-1.18,74,93,11.39,KZ,1701549884
301,sarupathar,26.1984,93.8094,16.99,86,100,0.45,IN,1701549884
302,ust'-kulom,61.6864,53.6902,-13.42,98,98,1.27,RU,1701549884
303,kovalam,8.3667,76.9967,27.05,89,40,2.06,IN,1701549885
304,naze,28.3667,129.4833,14.51,67,92,4.81,JP,1701549885
305,glace bay,46.1969,-59.957,6.25,97,100,1.54,CA,1701549885
306,hithadhoo,-0.6,73.0833,27.83,74,100,4.61,MV,1701549885
307,pisco,-13.7,-76.2167,23.03,68,0,10.29,PE,1701549885
308,plettenberg bay,-34.0527,23.3716,16.55,90,22,1.21,ZA,1701549885
309,tromso,69.6496,18.957,-5.99,79,40,2.06,NO,1701549886
310,dayr al balah,31.4166,34.3452,20.33,72,0,3.52,PS,1701549886
311,na wa,17.4897,104.1006,19.62,83,85,2.45,TH,1701549886
312,kapuskasing,49.4169,-82.4331,-0.95,59,20,3.09,CA,1701549743
313,defuniak springs,30.721,-86.1152,21.1,100,100,3.6,US,1701549886
314,utrik,11.2278,169.8474,27.17,77,66,8.72,MH,1701549886
315,harstad,68.799,16.5293,-2.69,89,64,1.28,NO,1701549886
316,terrace,54.5163,-128.6035,1.23,93,100,4.63,CA,1701549886
317,senekal,-28.3197,27.6208,21.91,26,4,1.41,ZA,1701549887
318,ketchikan,55.3422,-131.6461,5.19,93,100,2.06,US,1701549887
319,ashgabat,37.95,58.3833,6.92,87,47,2.06,TM,1701549719
320,wynyard,-41.0,145.7167,14.8,87,100,2.62,AU,1701549887
321,carnarvon,-24.8667,113.6333,21.98,77,0,8.11,AU,1701549887
322,viljoenskroon,-27.2084,26.9485,23.47,23,6,2.59,ZA,1701549887
323,villa de cos,23.2833,-102.35,20.54,27,100,5.99,MX,1701549887
324,santa cruz verapaz,15.3667,-90.4333,25.42,69,20,2.06,GT,1701549888
325,kalevala,65.2,31.1667,-8.84,94,100,4.02,RU,1701549888
326,kailua-kona,19.6406,-155.9956,29.04,81,40,2.06,US,1701549888
327,curvelo,-18.7564,-44.4308,26.46,63,69,2.05,BR,1701549888
328,ust-tsilma,65.441,52.1498,-10.92,98,100,1.09,RU,1701549888
329,holualoa,19.6228,-155.9522,26.97,81,40,2.06,US,1701549888
330,formosa do rio preto,-11.0483,-45.1931,33.36,24,87,2.3,BR,1701549889
331,charters towers,-20.1,146.2667,25.9,75,48,2.99,AU,1701549889
332,emboscada,-25.15,-57.35,33.77,53,63,1.65,PY,1701549889
333,san-pedro,4.7485,-6.6363,25.72,89,51,2.2,CI,1701549889
334,mezhova,48.2532,36.7347,7.98,97,100,3.4,UA,1701549889
